circuit_name  full_name  location  track_type  length_km  corners  first_gp  lap_record  lap_record_driver  lap_record_year  description
albert_park,Albert Park Grand Prix Circuit,"Melbourne, Victoria, Australia",Semi-Permanent Circuit,5.278,14,1996,1:19.813,Charles Leclerc,2024,"Scenic, fast-flowing circuit around Albert Park Lake hosting the Australian Grand Prix."
america_circuit,Circuit of the Americas,"Austin, Texas, United States",Permanent Circuit,5.513,20,2012,1:36.169,Charles Leclerc,2019,"Purpose-built FIA Grade 1 circuit featuring elevation changes and a mix of fast and technical sections."
autodromo_hermano,Autódromo Hermanos Rodríguez,"Mexico City, Mexico",Permanent Circuit,4.304,17,1962,1:17.774,Valtteri Bottas,2021,"High-altitude circuit featuring long straights and the iconic stadium section."
bahrain_circuit,Bahrain International Circuit,"Sakhir, Bahrain",Permanent Circuit,5.412,15,2004,1:31.447,Pedro de la Rosa,2005,"Desert-based circuit known for abrasive surface and night racing under floodlights."
baku_city_circuit,Baku City Circuit,"Baku, Azerbaijan",Street Circuit,6.003,20,2016,1:43.009,Charles Leclerc,2019,"High-speed street circuit combining narrow old-town sections and long straights."
barcelona_catalunya_circuit,Circuit de Barcelona-Catalunya,"Montmeló, Spain",Permanent Circuit,4.657,16,1991,1:16.330,Oscar Piastri,2025,"Technical circuit featuring a mix of slow hairpins and medium-speed corners."
circuit_gilles_villeneuve,Circuit Gilles Villeneuve,"Montreal, Canada",Semi-Permanent Circuit,4.361,14,1978,1:13.078,Valtteri Bottas,2019,"Power-sensitive circuit with long straights and the famous Wall of Champions."
hungaroring_circuit,Hungaroring,"Mogyoród, Hungary",Permanent Circuit,4.381,14,1986,1:16.627,Lewis Hamilton,2020,"Twisty medium-speed circuit emphasizing downforce and qualifying performance."
imola_circuit,Autodromo Internazionale Enzo e Dino Ferrari,"Imola, Italy",Permanent Circuit,4.909,19,1980,1:15.484,Lewis Hamilton,2020,"Historic circuit with elevation changes and iconic high-speed corners."
interlagos_circuit,Autódromo José Carlos Pace,"São Paulo, Brazil",Permanent Circuit,4.309,15,1973,1:10.540,Valtteri Bottas,2018,"Anti-clockwise circuit known for elevation changes and dramatic races."
jeddah_corniche_circuit,Jeddah Corniche Circuit,"Jeddah, Saudi Arabia",Street Circuit,6.174,27,2021,1:30.734,Lewis Hamilton,2021,"Fastest street circuit featuring high-speed corners and night racing."
las_vegas_street_circuit,Las Vegas Strip Circuit,"Las Vegas, Nevada, USA",Street Circuit,6.201,17,2023,1:33.365,Max Verstappen,2025,"Night race on the Las Vegas Strip with long straights and neon backdrop."
lusail_international_circuit,Lusail International Circuit,"Lusail, Qatar",Permanent Circuit,5.419,16,2021,1:22.384,Lando Norris,2024,"Modern desert circuit featuring wide straights and technical sections."
marina_bay_circuit,Marina Bay Street Circuit,"Singapore",Street Circuit,4.94,19,2008,1:33.808,Lewis Hamilton,2025,"Physically demanding night street circuit with tight walls and humid conditions."
miami_international_circuit,Miami International Autodrome,"Miami, Florida, USA",Temporary Circuit,5.412,19,2022,1:29.708,Max Verstappen,2023,"Modern circuit built around Hard Rock Stadium featuring multiple long straights."
monaco_circuit,Circuit de Monaco,"Monte Carlo, Monaco",Street Circuit,3.337,19,1950,1:12.909,Lewis Hamilton,2021,"Iconic narrow street circuit requiring precision and offering limited overtaking."
monza_circuit,Autodromo Nazionale di Monza,"Monza, Italy",Permanent Circuit,5.793,11,1950,1:20.901,Lando Norris,2025,"Temple of Speed featuring long straights and minimal downforce setup."
red_bull_ring_circuit,Red Bull Ring,"Spielberg, Austria",Permanent Circuit,4.318,10,1970,1:05.619,Carlos Sainz,2020,"Short, high-speed circuit with elevation changes in the Styrian mountains."
shanghai_international_circuit,Shanghai International Circuit,"Shanghai, China",Permanent Circuit,5.451,16,2004,1:32.238,Michael Schumacher,2004,"Circuit shaped like the Chinese character 'shang' with a long back straight."
silverstone_circuit,Silverstone Circuit,"Northamptonshire, United Kingdom",Permanent Circuit,5.891,18,1950,1:27.097,Max Verstappen,2020,"Historic high-speed circuit known for flowing corners like Maggotts and Becketts."
spa_francorchamps_circuit,Circuit de Spa-Francorchamps,"Stavelot, Belgium",Permanent Circuit,7.004,19,1950,1:44.701,Sergio Pérez,2024,"Legendary Ardennes circuit featuring Eau Rouge and unpredictable weather."
suzuka_international_circuit,Suzuka International Racing Course,"Suzuka, Japan",Permanent Circuit,5.807,18,1987,1:30.965,Andrea Kimi Antonelli,2025,"Unique figure-eight circuit with high-speed sections like 130R."
yas_marina_circuit,Yas Marina Circuit,"Abu Dhabi, UAE",Permanent Circuit,5.281,16,2009,1:25.637,Kevin Magnussen,2024,"Modern floodlit circuit hosting the F1 season finale on Yas Island."
zandvoort_circuit,Circuit Zandvoort,"Zandvoort, Netherlands",Permanent Circuit,4.259,14,1952,1:11.097,Lewis Hamilton,2021,"Dune-side circuit featuring banked corners and passionate home support."
